date,home,away,PinnacleCloseHome,PinnacleCloseDraw,PinnacleCloseAway,AvgCloseHome,AvgCloseDraw,AvgCloseAway
2024-11-23,nycfc,ny-red-bulls,2.20,3.60,3.25,2.15,3.51,3.16
2024-11-23,lafc,seattle,1.70,4.00,5.00,1.67,3.88,4.79
2024-11-24,orlando,atlanta,1.80,3.90,4.40,1.77,3.81,4.22
2024-11-24,la-galaxy,minnesota,1.55,4.60,5.50,1.52,4.47,5.24
2024-11-30,orlando,ny-red-bulls,2.00,3.60,3.80,1.96,3.49,3.66
2024-11-30,la-galaxy,seattle,1.95,3.80,3.85,1.91,3.69,3.71
2024-12-07,la-galaxy,ny-red-bulls,1.70,4.20,4.80,1.67,4.08,4.58
2024-05-07,atlanta,charlotte-independence,NA,NA,NA,NA,NA,NA
2024-05-07,houston,detroit-city,NA,NA,NA,NA,NA,NA
2024-05-07,fc-dallas,memphis-901,NA,NA,NA,NA,NA,NA
2024-05-07,san-jose,oakland-roots,NA,NA,NA,NA,NA,NA
2024-05-08,union-omaha,sporting-kc,NA,NA,NA,NA,NA,NA
2024-05-08,new-mexico,real-salt-lake,NA,NA,NA,NA,NA,NA
2024-05-08,seattle,louisville-city,NA,NA,NA,NA,NA,NA
2024-05-08,las-vegas-lights,lafc,NA,NA,NA,NA,NA,NA
2026-07-22,nashville,cf-montreal,1.95,3.60,3.90,1.91,3.48,3.77
2026-07-22,houston,dc-united,1.65,4.10,5.25,1.61,3.99,5.04
2026-07-22,sporting-kc,minnesota,2.30,3.70,2.95,2.24,3.58,2.86
2026-07-22,austin,seattle,2.80,3.50,2.50,2.71,3.41,2.43
2026-07-22,colorado,san-diego,1.85,3.85,4.10,1.81,3.72,3.95
2026-07-22,lafc,real-salt-lake,1.55,4.50,5.75,1.52,4.33,5.48
2026-07-22,portland,fc-dallas,1.75,4.00,4.50,1.71,3.89,4.31
2026-07-22,san-jose,orlando,3.20,3.65,2.18,3.11,3.54,2.12
2026-07-22,la-galaxy,st-louis,1.48,4.75,6.25,1.45,4.59,5.92
2026-07-25,ny-red-bulls,charlotte,1.90,3.65,4.00,1.86,3.52,3.85
2026-07-25,columbus,fc-cincinnati,1.80,3.95,4.25,1.76,3.82,4.08
2026-07-25,philadelphia,seattle,2.25,3.55,3.15,2.20,3.44,3.06
2026-07-25,cf-montreal,inter-miami,4.50,4.20,1.72,4.33,4.04,1.68
2026-07-25,nycfc,chicago,1.60,4.35,5.50,1.56,4.19,5.27
2026-07-25,dc-united,toronto,2.10,3.70,3.35,2.05,3.57,3.22
2026-07-25,new-england,atlanta,2.05,3.75,3.45,2.01,3.63,3.31
2026-07-25,houston,austin,1.68,4.00,5.00,1.64,3.89,4.81
2026-07-25,minnesota,vancouver,2.20,3.60,3.20,2.14,3.49,3.11
2026-07-25,st-louis,colorado,2.00,3.70,3.65,1.95,3.58,3.51
2026-07-25,orlando,nashville,1.75,3.90,4.60,1.71,3.77,4.42
2026-07-25,san-diego,fc-dallas,2.15,3.55,3.35,2.10,3.43,3.22
2026-07-25,san-jose,la-galaxy,3.60,3.95,1.95,3.48,3.81,1.89
2026-07-25,lafc,sporting-kc,1.35,5.50,8.00,1.32,5.24,7.63
2026-07-25,portland,real-salt-lake,2.10,3.75,3.30,2.05,3.62,3.18
2026-07-31,nycfc,toronto,1.72,3.95,4.75,1.68,3.81,4.53
