# RPL 2025-26 - SECOND-INDEX LEDGER (score-level; Wikipedia FBR results matrix)
# Source: https://en.wikipedia.org/wiki/2025%E2%80%9326_Russian_Premier_League - section "Results" (full-season 16x16 FBR matrix). Fetched
# 2026-08-04 via MediaWiki API (action=parse, section 14, prop=wikitext). Matrix carries
# SCORES ONLY (no dates/rounds); date-level second-index coverage for these seasons: the
# football-data R1.csv feed is discontinued (mmz4281/2425 + /2526 404, verified 2026-08-04);
# openfootball/russia absent (404). worldfootball.net per-round pages confirmed as the
# spot-audit third anchor (MD30 2024-25 = 8/8 exact). League-table rows printed adjacent
# to the matrix agree with the RSSSF final-table constants club-for-club (both seasons);
# infobox anchors: 2024-25 240 matches / 648 goals; 2025-26 240 / 609.
# Row format: MX|<HomeStock>|<AwayStock>|<hg>|<ag>; stock strings = the RSSSF compact
# strings of the primary ledger so the diff is literal. Wiki code -> stock map in COLS.
COLS|AKH|AKR|BAL|CSK|DMH|DMO|KRA|KRY|LOK|ORE|PNN|ROS|RUB|SOC|SPA|ZEN
MX|Rubin|Akron|1|1
MX|Rubin|Baltika|0|3
MX|Rubin|CSKA|0|0
MX|Rubin|Dinamo Mh|1|0
MX|Rubin|Dinamo Ms|0|0
MX|Rubin|Krasnodar|2|1
MX|Rubin|Krylja S.|2|0
MX|Rubin|Lokomotiv|3|0
MX|Rubin|Orenburg|0|0
MX|Rubin|Pari NN|2|2
MX|Rubin|Rostov|1|0
MX|Rubin|Soci|2|1
MX|Rubin|Spartak|0|2
MX|Rubin|Zenit|2|2
MX|Soci|Ahmat|1|1
MX|Soci|Akron|0|4
MX|Soci|Baltika|0|2
MX|Soci|CSKA|1|3
MX|Soci|Dinamo Mh|0|0
MX|Soci|Dinamo Ms|1|1
MX|Soci|Krasnodar|1|2
MX|Soci|Krylja S.|2|1
MX|Soci|Lokomotiv|2|4
MX|Soci|Orenburg|3|1
MX|Soci|Pari NN|2|1
MX|Soci|Rostov|0|1
MX|Soci|Rubin|0|1
MX|Soci|Spartak|2|3
MX|Soci|Zenit|0|3
MX|Spartak|Ahmat|3|1
MX|Spartak|Akron|4|3
MX|Spartak|Baltika|0|3
MX|Spartak|CSKA|1|0
MX|Spartak|Dinamo Mh|1|0
MX|Spartak|Dinamo Ms|1|1
MX|Spartak|Krasnodar|1|2
MX|Spartak|Krylja S.|2|1
MX|Spartak|Lokomotiv|2|1
MX|Spartak|Orenburg|1|0
MX|Spartak|Pari NN|3|0
MX|Spartak|Rostov|1|1
MX|Spartak|Rubin|2|1
MX|Spartak|Soci|2|1
MX|Spartak|Zenit|2|2
MX|Zenit|Ahmat|2|0
MX|Zenit|Akron|2|0
MX|Zenit|Baltika|1|0
MX|Zenit|CSKA|1|1
MX|Zenit|Dinamo Mh|4|0
MX|Zenit|Dinamo Ms|2|1
MX|Zenit|Krasnodar|1|1
MX|Zenit|Krylja S.|2|1
MX|Zenit|Lokomotiv|2|0
MX|Zenit|Orenburg|5|2
MX|Zenit|Pari NN|2|0
MX|Zenit|Rostov|2|1
MX|Zenit|Rubin|1|0
MX|Zenit|Soci|2|1
MX|Zenit|Spartak|2|0
