# CZ1 2021/22 (HET liga / Fortuna:Liga) — RSSSF tsje2022.html, transcribed 2026-08-03
# MD|date|home|hg|ag|away  (ASCII stock strings; builder maps to WO-CZ1 section-3 roster strings)
# eras: FC Fastav Zlin(->Trinity 2022) | FK Jablonec 97 | MFK OKD Karvina | SK Dynamo Ceske Budejovice
#        | FC Bohemians 1905 Praha | 1. FC Slovacko | FK Mlada Boleslav | FC Banik Ostrava | FC Hradec Kralove
# postponed inside rounds: R3 Slavia-Olomouc played Oct 27; R12 Karvina-Ostrava Nov 24; R13 Bohemians-Karvina Dec 1;
#   R20 Zlin-Liberec Feb 15 + Pardubice-Slovacko Feb 22; R21 Liberec-Pardubice Mar 9; R22 Jablonec-Sparta Mar 9
R13|2021-12-01|Bohemians|3|0|Karvina
R14|2021-11-06|CBudejovice|2|1|MlBoleslav
R14|2021-11-06|Hradec|1|1|Ostrava
R14|2021-11-06|Liberec|2|1|Bohemians
R14|2021-11-06|Plzen|0|0|Olomouc
R14|2021-11-07|Zlin|0|0|Jablonec
R14|2021-11-07|Pardubice|0|5|Slavia
R14|2021-11-07|Karvina|2|2|Slovacko
R14|2021-11-07|Sparta|4|2|Teplice
R15|2021-11-20|Bohemians|3|1|CBudejovice
R15|2021-11-20|Olomouc|2|2|Hradec
R15|2021-11-20|MlBoleslav|1|0|Zlin
R15|2021-11-20|Ostrava|2|2|Plzen
R15|2021-11-21|Slovacko|4|0|Sparta
R15|2021-11-21|Karvina|1|2|Liberec
R15|2021-11-21|Teplice|1|2|Pardubice
R15|2021-11-21|Slavia|5|0|Jablonec
R16|2021-11-27|Pardubice|1|5|Olomouc
R16|2021-11-27|CBudejovice|3|2|Slovacko
R16|2021-11-27|Zlin|2|2|Ostrava
R16|2021-11-27|Plzen|6|0|Bohemians
R16|2021-11-28|Hradec|1|0|Karvina
R16|2021-11-28|Jablonec|0|1|MlBoleslav
R16|2021-11-28|Slavia|3|0|Teplice
R16|2021-11-28|Sparta|2|1|Liberec
R17|2021-12-04|Karvina|1|2|Sparta
R17|2021-12-04|Liberec|1|0|Hradec
R17|2021-12-04|Teplice|4|1|Zlin
R17|2021-12-04|Olomouc|0|1|Slavia
R17|2021-12-05|Bohemians|1|2|Jablonec
R17|2021-12-05|MlBoleslav|2|3|Pardubice
R17|2021-12-05|Ostrava|4|1|CBudejovice
R17|2021-12-05|Slovacko|1|2|Plzen
R18|2021-12-11|Hradec|2|2|Slovacko
R18|2021-12-11|Pardubice|0|3|Ostrava
R18|2021-12-11|Zlin|2|1|Karvina
R18|2021-12-11|Plzen|2|0|Liberec
R18|2021-12-12|Slavia|2|0|MlBoleslav
R18|2021-12-12|CBudejovice|2|1|Olomouc
R18|2021-12-12|Jablonec|0|2|Teplice
R18|2021-12-12|Sparta|5|1|Bohemians
R19|2021-12-18|Karvina|0|1|Plzen
R19|2021-12-18|Bohemians|1|2|Pardubice
R19|2021-12-18|Slovacko|2|1|Jablonec
R19|2021-12-18|Hradec|0|1|Sparta
R19|2021-12-19|Teplice|0|1|MlBoleslav
R19|2021-12-19|Olomouc|1|1|Zlin
R19|2021-12-19|Liberec|0|0|CBudejovice
R19|2021-12-19|Ostrava|3|3|Slavia
R20|2022-02-05|Slavia|0|1|Karvina
R20|2022-02-05|Jablonec|1|0|Olomouc
R20|2022-02-05|Teplice|1|0|Bohemians
R20|2022-02-05|CBudejovice|0|0|Sparta
R20|2022-02-06|MlBoleslav|2|3|Ostrava
R20|2022-02-06|Plzen|1|0|Hradec
R20|2022-02-15|Zlin|2|0|Liberec
R20|2022-02-22|Pardubice|0|0|Slovacko
R21|2022-02-12|Hradec|2|2|CBudejovice
R21|2022-02-12|Bohemians|1|0|Zlin
R21|2022-02-12|Ostrava|2|4|Teplice
R21|2022-02-13|Karvina|1|1|Jablonec
R21|2022-02-13|Olomouc|2|1|MlBoleslav
R21|2022-02-13|Slovacko|0|1|Slavia
R21|2022-02-13|Sparta|2|2|Plzen
R21|2022-03-09|Liberec|4|1|Pardubice
R22|2022-02-19|Ostrava|1|0|Olomouc
R22|2022-02-19|Zlin|1|0|Slovacko
R22|2022-02-19|Pardubice|0|0|Hradec
R22|2022-02-19|CBudejovice|0|1|Plzen
R22|2022-02-20|MlBoleslav|3|3|Liberec
R22|2022-02-20|Teplice|1|0|Karvina
R22|2022-02-20|Slavia|1|0|Bohemians
R22|2022-03-09|Jablonec|1|1|Sparta
R23|2022-02-26|Slovacko|2|1|MlBoleslav
R23|2022-02-26|Bohemians|0|2|Ostrava
R23|2022-02-26|Liberec|1|1|Jablonec
R23|2022-02-26|Plzen|4|0|Pardubice
R23|2022-02-27|Hradec|1|5|Slavia
R23|2022-02-27|Karvina|2|2|CBudejovice
R23|2022-02-27|Olomouc|0|0|Teplice
R23|2022-02-27|Sparta|2|0|Zlin
R24|2022-03-05|Zlin|1|2|Plzen
R24|2022-03-05|Pardubice|3|3|CBudejovice
R24|2022-03-05|Olomouc|0|0|Bohemians
R24|2022-03-05|Ostrava|1|1|Liberec
R24|2022-03-06|Jablonec|1|1|Hradec
R24|2022-03-06|MlBoleslav|1|0|Karvina
R24|2022-03-06|Teplice|0|1|Slovacko
R24|2022-03-06|Slavia|2|0|Sparta
R25|2022-03-12|Slovacko|0|0|Ostrava
R25|2022-03-12|Bohemians|2|2|MlBoleslav
R25|2022-03-12|Hradec|2|1|Zlin
R25|2022-03-12|Plzen|1|0|Teplice
R25|2022-03-13|CBudejovice|2|0|Jablonec
R25|2022-03-13|Karvina|1|2|Olomouc
R25|2022-03-13|Liberec|1|0|Slavia
R25|2022-03-13|Sparta|3|1|Pardubice
R26|2022-03-19|Ostrava|1|3|Karvina
R26|2022-03-19|Bohemians|1|2|Slovacko
R26|2022-03-19|Zlin|4|1|Pardubice
R26|2022-03-19|Jablonec|0|0|Plzen
R26|2022-03-20|MlBoleslav|0|3|Sparta
R26|2022-03-20|Teplice|1|2|Hradec
R26|2022-03-20|Olomouc|1|0|Liberec
R26|2022-03-20|Slavia|1|0|CBudejovice
R27|2022-04-02|Slovacko|1|0|Olomouc
R27|2022-04-02|CBudejovice|2|2|Zlin
R27|2022-04-02|Liberec|0|1|Teplice
R27|2022-04-02|Sparta|2|1|Ostrava
R27|2022-04-03|Pardubice|1|1|Jablonec
R27|2022-04-03|Hradec|2|2|MlBoleslav
R27|2022-04-03|Karvina|1|1|Bohemians
R27|2022-04-03|Plzen|1|1|Slavia
R28|2022-04-09|Slovacko|3|1|Karvina
R28|2022-04-09|Bohemians|0|0|Liberec
R28|2022-04-09|Olomouc|1|1|Plzen
R28|2022-04-09|Teplice|0|3|Sparta
R28|2022-04-10|Ostrava|0|0|Hradec
R28|2022-04-10|Jablonec|1|1|Zlin
R28|2022-04-10|MlBoleslav|2|0|CBudejovice
R28|2022-04-10|Slavia|4|0|Pardubice
R29|2022-04-17|CBudejovice|2|1|Bohemians
R29|2022-04-17|Zlin|1|2|MlBoleslav
R29|2022-04-17|Jablonec|1|2|Slavia
R29|2022-04-17|Pardubice|2|0|Teplice
R29|2022-04-17|Hradec|3|0|Olomouc
R29|2022-04-17|Liberec|2|1|Karvina
R29|2022-04-17|Sparta|3|1|Slovacko
R29|2022-04-17|Plzen|2|1|Ostrava
R30|2022-04-20|Slovacko|2|0|Liberec
R30|2022-04-20|Ostrava|1|0|Jablonec
R30|2022-04-20|Bohemians|1|1|Hradec
R30|2022-04-20|MlBoleslav|0|2|Plzen
R30|2022-04-20|Teplice|2|1|CBudejovice
R30|2022-04-20|Karvina|3|2|Pardubice
R30|2022-04-20|Olomouc|2|0|Sparta
R30|2022-04-20|Slavia|3|0|Zlin
# SKUPINA O TITUL (championship group) - rounds 31-35
T31|2022-04-23|Sparta|3|1|Ostrava
T31|2022-04-24|Plzen|3|1|Slovacko
T31|2022-04-24|Hradec|4|3|Slavia
T32|2022-04-30|Slovacko|3|1|Ostrava
T32|2022-04-30|Sparta|1|1|Hradec
T32|2022-05-01|Slavia|1|1|Plzen
T33|2022-05-07|Ostrava|3|1|Hradec
T33|2022-05-08|Plzen|3|0|Sparta
T33|2022-05-08|Slavia|3|0|Slovacko
T34|2022-05-11|Ostrava|1|1|Slavia
T34|2022-05-11|Hradec|0|2|Plzen
T34|2022-05-11|Sparta|1|2|Slovacko
T35|2022-05-15|Slovacko|3|0|Hradec
T35|2022-05-15|Slavia|1|2|Sparta
T35|2022-05-15|Plzen|1|0|Ostrava
# SKUPINA O ZACHRANU (relegation group) - rounds 31-35
Z31|2022-04-23|Jablonec|0|1|Pardubice
Z31|2022-04-23|Teplice|2|2|Bohemians
Z31|2022-04-23|Karvina|1|1|Zlin
Z32|2022-05-01|Bohemians|0|1|Pardubice
Z32|2022-05-01|Zlin|3|0|Teplice
Z32|2022-05-01|Jablonec|2|0|Karvina
Z33|2022-05-07|Zlin|1|4|Bohemians
Z33|2022-05-07|Pardubice|2|0|Karvina
Z33|2022-05-07|Teplice|0|1|Jablonec
Z34|2022-05-10|Jablonec|1|1|Bohemians
Z34|2022-05-10|Pardubice|1|1|Zlin
Z34|2022-05-10|Karvina|2|2|Teplice
Z35|2022-05-14|Bohemians|4|0|Karvina
Z35|2022-05-14|Zlin|1|1|Jablonec
Z35|2022-05-14|Teplice|0|2|Pardubice
# SKUPINA O EVROPU - semifinals (two legs) + final (two legs)
ESF1|2022-04-24|CBudejovice|2|3|MlBoleslav
ESF1|2022-04-24|Olomouc|1|0|Liberec
ESF2|2022-04-30|MlBoleslav|1|0|CBudejovice
ESF2|2022-04-30|Liberec|0|2|Olomouc
EF1|2022-05-06|Olomouc|1|2|MlBoleslav
EF2|2022-05-13|MlBoleslav|2|2|Olomouc
# EVROPU winner: Ml Boleslav (SF aggs: MB 4-2 CB, Olomouc 3-0 Liberec; Final agg MB 4-3 Olomouc)
# PROMOTION/RELEGATION PLAYOFF (EMITTED into the pack from v2.2: owner sanction 2026-08-03,
# compType "other" per ERRATA-2026-08-03 superseding the single-class WO section-2 line; raw record:)
# 2022-05-19 Teplice 3-0 Vlasim(FNL) ; 2022-05-19 Opava(FNL) 0-1 Bohemians
# 2022-05-22 Bohemians 2-0 Opava ; 2022-05-22 Vlasim 2-2 Teplice ; NB all clubs remain at former level
PRO|2022-05-19|Teplice|3|0|Vlasim
PRO|2022-05-19|Opava|0|1|Bohemians
PRO|2022-05-22|Bohemians|2|0|Opava
PRO|2022-05-22|Vlasim|2|2|Teplice
