# Russian Cup 2023/24 — RSSSF rus2024.html #kubok (compact, chunks 29-32) + #cupdet (venues)
# ISO|stage|home|hg|ag|away|penH|penA|stadium|city
# --- RPL PATH GROUPS, 2023 ---
# D: Spartak 4 0 0 2 16-12 12 | Dinamo 3 0 2 1 12-10 11 | Krasnodar 3 1 0 2 12-9 11 (Minor) | PariNN 0 1 0 5 6-15 2
# --- KNOCKOUT (2023-11 .. 2024-06) ---
2023-11-28|QF-Major leg1|Baltika Kaliningrad|2|2|Lokomotiv Moscow|||RosTech Arena|Kaliningrad
2023-11-29|QF-Major leg1|FC Rostov|1|1|CSKA Moscow|||Rostov Arena|Rostov-on-Don
2023-11-29|QF-Major leg1|Dynamo Moscow|1|0|Zenit St Petersburg|||VTB Arena|Moscow
2023-11-29|QF-Major leg1|FC Orenburg|1|0|Spartak Moscow|||Gazovik Stadium|Orenburg
2024-03-14|QF-Major leg2|Lokomotiv Moscow|1|1|Baltika Kaliningrad|6|7|Russian Railways Arena|Moscow
2024-03-12|QF-Major leg2|CSKA Moscow|2|0|FC Rostov|||VEB Arena|Moscow
2024-03-13|QF-Major leg2|Zenit St Petersburg|2|0|Dynamo Moscow|||Gazprom Arena|St Petersburg
2024-03-14|QF-Major leg2|Spartak Moscow|3|1|FC Orenburg|||Lukoil Arena|Moscow
2024-03-12|QF-Minor P1|FC Khimki|2|0|FC Krasnodar|||Arena Khimki|Khimki
2024-03-13|QF-Minor P1|Rodina Moscow|1|1|Ural Yekaterinburg|1|4|Sapsan Arena|Moscow
2024-03-13|QF-Minor P1|Volgar Astrakhan|1|2|Akhmat Grozny|||Central Stadium|Astrakhan
2024-03-14|QF-Minor P1|PFC Sochi|1|1|SKA Khabarovsk|2|4|Fisht Stadium|Sochi
2024-04-02|QF-Minor P2|SKA Khabarovsk|1|2|Dynamo Moscow|||Kirovets Stadium|St Petersburg
2024-04-02|QF-Minor P2|FC Khimki|0|0|FC Rostov|6|7|Arena Khimki|Khimki
2024-04-03|QF-Minor P2|Ural Yekaterinburg|1|0|Lokomotiv Moscow|||Yekaterinburg Arena|Yekaterinburg
2024-04-04|QF-Minor P2|Akhmat Grozny|0|1|FC Orenburg|||Akhmat Arena|Grozny
2024-04-03|SF-Major leg1|Baltika Kaliningrad|0|1|CSKA Moscow|||RosTech Arena|Kaliningrad
2024-04-03|SF-Major leg1|Spartak Moscow|1|2|Zenit St Petersburg|||Lukoil Arena|Moscow
2024-04-16|SF-Major leg2|CSKA Moscow|2|0|Baltika Kaliningrad|||VEB Arena|Moscow
2024-04-17|SF-Major leg2|Zenit St Petersburg|0|0|Spartak Moscow|||Gazprom Arena|St Petersburg
2024-04-17|SF-Minor P1|FC Orenburg|2|4|Dynamo Moscow|||Gazovik Stadium|Orenburg
2024-04-17|SF-Minor P1|Ural Yekaterinburg|1|3|FC Rostov|||Yekaterinburg Arena|Yekaterinburg
2024-05-01|SF-Minor P2|Dynamo Moscow|0|2|Spartak Moscow|||VTB Arena|Moscow
2024-05-02|SF-Minor P2|FC Rostov|0|1|Baltika Kaliningrad|||Rostov Arena|Rostov-on-Don
2024-05-02|Finals-Major leg1|CSKA Moscow|1|1|Zenit St Petersburg|||VEB Arena|Moscow
2024-05-15|Finals-Major leg2|Zenit St Petersburg|0|0|CSKA Moscow|5|4|Gazprom Arena|St Petersburg
2024-05-14|Finals-Minor|Baltika Kaliningrad|1|0|Spartak Moscow|||RosTech Arena|Kaliningrad
2024-06-02|Final|Baltika Kaliningrad|1|2|Zenit St Petersburg|||Luzhniki Stadium|Moscow
# ADVANCEMENT: Lokomotiv-Baltika leg2 pens: Baltika won shootout 7-6 after agg 3-3 -> Baltika advanced;
# Rodina-Ural: Ural 4-1; Sochi-SKA: SKA 4-2; Khimki-Rostov: Rostov 7-6; Finals-Major: Zenit 5-4 (agg 1-1)
# aggregates: CSKA 3-1 Rostov; Zenit 2-1 Dinamo; Spartak 3-2 Orenburg; CSKA 3-0 Baltika; Zenit 2-1 Spartak
# CHAMPION: Zenit. Boundary OK: super final 2024-06-02 < 2024-06-30.
# SKA Khabarovsk home tie vs Dinamo played in St Petersburg (Kirovets) - neutral-venue NOTE (RSSSF "In Sankt-Peterburg").
# Rodina stadium for QF-Minor P1 = Sapsan Arena, Moscow (confirmed via wiki/RFS cross-check).
# REGIONS PATH (out of scope, 0 RPL clubs): R3 Sep4-14; R4 Sep26-28 (First League enters incl Khimki/Arsenal/Torpedo now D2);
# R5 Oct17-19; R6 Nov1-2 -> survivors: Rodina, Khimki, SKA Khabarovsk, Volgar (all non-RPL).
